path,file_name,breed,breed_display,species,species_vi,label
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Russian_Blue_115.jpg,Russian_Blue_115.jpg,Russian_Blue,Russian Blue,cat,Mèo,9
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/german_shorthaired_44.jpg,german_shorthaired_44.jpg,german_shorthaired,German Shorthaired,dog,Chó,20
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/scottish_terrier_161.jpg,scottish_terrier_161.jpg,scottish_terrier,Scottish Terrier,dog,Chó,32
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/wheaten_terrier_58.jpg,wheaten_terrier_58.jpg,wheaten_terrier,Wheaten Terrier,dog,Chó,35
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/basset_hound_193.jpg,basset_hound_193.jpg,basset_hound,Basset Hound,dog,Chó,14
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/havanese_134.jpg,havanese_134.jpg,havanese,Havanese,dog,Chó,22
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/great_pyrenees_195.jpg,great_pyrenees_195.jpg,great_pyrenees,Great Pyrenees,dog,Chó,21
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/newfoundland_12.jpg,newfoundland_12.jpg,newfoundland,Newfoundland,dog,Chó,27
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/basset_hound_106.jpg,basset_hound_106.jpg,basset_hound,Basset Hound,dog,Chó,14
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/British_Shorthair_118.jpg,British_Shorthair_118.jpg,British_Shorthair,British Shorthair,cat,Mèo,4
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Maine_Coon_253.jpg,Maine_Coon_253.jpg,Maine_Coon,Maine Coon,cat,Mèo,6
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Birman_158.jpg,Birman_158.jpg,Birman,Birman,cat,Mèo,2
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/english_cocker_spaniel_128.jpg,english_cocker_spaniel_128.jpg,english_cocker_spaniel,English Cocker Spaniel,dog,Chó,18
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/american_pit_bull_terrier_9.jpg,american_pit_bull_terrier_9.jpg,american_pit_bull_terrier,American Pit Bull Terrier,dog,Chó,13
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/samoyed_166.jpg,samoyed_166.jpg,samoyed,Samoyed,dog,Chó,31
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Siamese_193.jpg,Siamese_193.jpg,Siamese,Siamese,cat,Mèo,10
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/american_bulldog_3.jpg,american_bulldog_3.jpg,american_bulldog,American Bulldog,dog,Chó,12
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/basset_hound_94.jpg,basset_hound_94.jpg,basset_hound,Basset Hound,dog,Chó,14
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Egyptian_Mau_96.jpg,Egyptian_Mau_96.jpg,Egyptian_Mau,Egyptian Mau,cat,Mèo,5
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/basset_hound_192.jpg,basset_hound_192.jpg,basset_hound,Basset Hound,dog,Chó,14
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/german_shorthaired_1.jpg,german_shorthaired_1.jpg,german_shorthaired,German Shorthaired,dog,Chó,20
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/beagle_145.jpg,beagle_145.jpg,beagle,Beagle,dog,Chó,15
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Russian_Blue_146.jpg,Russian_Blue_146.jpg,Russian_Blue,Russian Blue,cat,Mèo,9
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Russian_Blue_118.jpg,Russian_Blue_118.jpg,Russian_Blue,Russian Blue,cat,Mèo,9
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/great_pyrenees_183.jpg,great_pyrenees_183.jpg,great_pyrenees,Great Pyrenees,dog,Chó,21
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/British_Shorthair_263.jpg,British_Shorthair_263.jpg,British_Shorthair,British Shorthair,cat,Mèo,4
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/american_pit_bull_terrier_114.jpg,american_pit_bull_terrier_114.jpg,american_pit_bull_terrier,American Pit Bull Terrier,dog,Chó,13
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Bengal_53.jpg,Bengal_53.jpg,Bengal,Bengal,cat,Mèo,1
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/boxer_199.jpg,boxer_199.jpg,boxer,Boxer,dog,Chó,16
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/great_pyrenees_173.jpg,great_pyrenees_173.jpg,great_pyrenees,Great Pyrenees,dog,Chó,21
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/scottish_terrier_77.jpg,scottish_terrier_77.jpg,scottish_terrier,Scottish Terrier,dog,Chó,32
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/British_Shorthair_31.jpg,British_Shorthair_31.jpg,British_Shorthair,British Shorthair,cat,Mèo,4
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Russian_Blue_91.jpg,Russian_Blue_91.jpg,Russian_Blue,Russian Blue,cat,Mèo,9
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/german_shorthaired_172.jpg,german_shorthaired_172.jpg,german_shorthaired,German Shorthaired,dog,Chó,20
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/american_bulldog_7.jpg,american_bulldog_7.jpg,american_bulldog,American Bulldog,dog,Chó,12
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Sphynx_99.jpg,Sphynx_99.jpg,Sphynx,Sphynx,cat,Mèo,11
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/leonberger_29.jpg,leonberger_29.jpg,leonberger,Leonberger,dog,Chó,25
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/newfoundland_24.jpg,newfoundland_24.jpg,newfoundland,Newfoundland,dog,Chó,27
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Maine_Coon_34.jpg,Maine_Coon_34.jpg,Maine_Coon,Maine Coon,cat,Mèo,6
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/samoyed_165.jpg,samoyed_165.jpg,samoyed,Samoyed,dog,Chó,31
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Bombay_204.jpg,Bombay_204.jpg,Bombay,Bombay,cat,Mèo,3
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/newfoundland_154.jpg,newfoundland_154.jpg,newfoundland,Newfoundland,dog,Chó,27
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/pug_106.jpg,pug_106.jpg,pug,Pug,dog,Chó,29
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/pug_193.jpg,pug_193.jpg,pug,Pug,dog,Chó,29
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/pug_45.jpg,pug_45.jpg,pug,Pug,dog,Chó,29
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/scottish_terrier_16.jpg,scottish_terrier_16.jpg,scottish_terrier,Scottish Terrier,dog,Chó,32
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/pomeranian_50.jpg,pomeranian_50.jpg,pomeranian,Pomeranian,dog,Chó,28
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/leonberger_15.jpg,leonberger_15.jpg,leonberger,Leonberger,dog,Chó,25
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Siamese_144.jpg,Siamese_144.jpg,Siamese,Siamese,cat,Mèo,10
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/beagle_196.jpg,beagle_196.jpg,beagle,Beagle,dog,Chó,15
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/yorkshire_terrier_83.jpg,yorkshire_terrier_83.jpg,yorkshire_terrier,Yorkshire Terrier,dog,Chó,36
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/english_cocker_spaniel_180.jpg,english_cocker_spaniel_180.jpg,english_cocker_spaniel,English Cocker Spaniel,dog,Chó,18
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/american_bulldog_53.jpg,american_bulldog_53.jpg,american_bulldog,American Bulldog,dog,Chó,12
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Bombay_215.jpg,Bombay_215.jpg,Bombay,Bombay,cat,Mèo,3
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/British_Shorthair_140.jpg,British_Shorthair_140.jpg,British_Shorthair,British Shorthair,cat,Mèo,4
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/miniature_pinscher_186.jpg,miniature_pinscher_186.jpg,miniature_pinscher,Miniature Pinscher,dog,Chó,26
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/yorkshire_terrier_21.jpg,yorkshire_terrier_21.jpg,yorkshire_terrier,Yorkshire Terrier,dog,Chó,36
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Abyssinian_11.jpg,Abyssinian_11.jpg,Abyssinian,Abyssinian,cat,Mèo,0
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/shiba_inu_35.jpg,shiba_inu_35.jpg,shiba_inu,Shiba Inu,dog,Chó,33
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/japanese_chin_81.jpg,japanese_chin_81.jpg,japanese_chin,Japanese Chin,dog,Chó,23
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Egyptian_Mau_85.jpg,Egyptian_Mau_85.jpg,Egyptian_Mau,Egyptian Mau,cat,Mèo,5
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/american_pit_bull_terrier_70.jpg,american_pit_bull_terrier_70.jpg,american_pit_bull_terrier,American Pit Bull Terrier,dog,Chó,13
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/great_pyrenees_95.jpg,great_pyrenees_95.jpg,great_pyrenees,Great Pyrenees,dog,Chó,21
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/beagle_130.jpg,beagle_130.jpg,beagle,Beagle,dog,Chó,15
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/german_shorthaired_23.jpg,german_shorthaired_23.jpg,german_shorthaired,German Shorthaired,dog,Chó,20
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/german_shorthaired_175.jpg,german_shorthaired_175.jpg,german_shorthaired,German Shorthaired,dog,Chó,20
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Egyptian_Mau_129.jpg,Egyptian_Mau_129.jpg,Egyptian_Mau,Egyptian Mau,cat,Mèo,5
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Sphynx_15.jpg,Sphynx_15.jpg,Sphynx,Sphynx,cat,Mèo,11
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/keeshond_13.jpg,keeshond_13.jpg,keeshond,Keeshond,dog,Chó,24
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/havanese_171.jpg,havanese_171.jpg,havanese,Havanese,dog,Chó,22
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/beagle_203.jpg,beagle_203.jpg,beagle,Beagle,dog,Chó,15
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/samoyed_131.jpg,samoyed_131.jpg,samoyed,Samoyed,dog,Chó,31
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/newfoundland_104.jpg,newfoundland_104.jpg,newfoundland,Newfoundland,dog,Chó,27
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/leonberger_198.jpg,leonberger_198.jpg,leonberger,Leonberger,dog,Chó,25
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/shiba_inu_130.jpg,shiba_inu_130.jpg,shiba_inu,Shiba Inu,dog,Chó,33
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Persian_46.jpg,Persian_46.jpg,Persian,Persian,cat,Mèo,7
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Russian_Blue_99.jpg,Russian_Blue_99.jpg,Russian_Blue,Russian Blue,cat,Mèo,9
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Bombay_122.jpg,Bombay_122.jpg,Bombay,Bombay,cat,Mèo,3
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/japanese_chin_11.jpg,japanese_chin_11.jpg,japanese_chin,Japanese Chin,dog,Chó,23
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/american_bulldog_60.jpg,american_bulldog_60.jpg,american_bulldog,American Bulldog,dog,Chó,12
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/american_bulldog_135.jpg,american_bulldog_135.jpg,american_bulldog,American Bulldog,dog,Chó,12
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Abyssinian_65.jpg,Abyssinian_65.jpg,Abyssinian,Abyssinian,cat,Mèo,0
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Ragdoll_68.jpg,Ragdoll_68.jpg,Ragdoll,Ragdoll,cat,Mèo,8
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Bombay_95.jpg,Bombay_95.jpg,Bombay,Bombay,cat,Mèo,3
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/beagle_88.jpg,beagle_88.jpg,beagle,Beagle,dog,Chó,15
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/english_cocker_spaniel_35.jpg,english_cocker_spaniel_35.jpg,english_cocker_spaniel,English Cocker Spaniel,dog,Chó,18
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Persian_97.jpg,Persian_97.jpg,Persian,Persian,cat,Mèo,7
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/american_pit_bull_terrier_133.jpg,american_pit_bull_terrier_133.jpg,american_pit_bull_terrier,American Pit Bull Terrier,dog,Chó,13
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/american_pit_bull_terrier_154.jpg,american_pit_bull_terrier_154.jpg,american_pit_bull_terrier,American Pit Bull Terrier,dog,Chó,13
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/chihuahua_25.jpg,chihuahua_25.jpg,chihuahua,Chihuahua,dog,Chó,17
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/pug_63.jpg,pug_63.jpg,pug,Pug,dog,Chó,29
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/japanese_chin_179.jpg,japanese_chin_179.jpg,japanese_chin,Japanese Chin,dog,Chó,23
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Birman_156.jpg,Birman_156.jpg,Birman,Birman,cat,Mèo,2
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/japanese_chin_112.jpg,japanese_chin_112.jpg,japanese_chin,Japanese Chin,dog,Chó,23
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/german_shorthaired_196.jpg,german_shorthaired_196.jpg,german_shorthaired,German Shorthaired,dog,Chó,20
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Persian_191.jpg,Persian_191.jpg,Persian,Persian,cat,Mèo,7
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/american_bulldog_86.jpg,american_bulldog_86.jpg,american_bulldog,American Bulldog,dog,Chó,12
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Sphynx_199.jpg,Sphynx_199.jpg,Sphynx,Sphynx,cat,Mèo,11
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/beagle_4.jpg,beagle_4.jpg,beagle,Beagle,dog,Chó,15
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Egyptian_Mau_167.jpg,Egyptian_Mau_167.jpg,Egyptian_Mau,Egyptian Mau,cat,Mèo,5
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/shiba_inu_101.jpg,shiba_inu_101.jpg,shiba_inu,Shiba Inu,dog,Chó,33
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/Bengal_60.jpg,Bengal_60.jpg,Bengal,Bengal,cat,Mèo,1
/content/drive/MyDrive/HOCSAU/data/oxford_iiit_pet_extracted/images/english_cocker_spaniel_154.jpg,english_cocker_spaniel_154.jpg,english_cocker_spaniel,English Cocker Spaniel,dog,Chó,18
